OWNER,Zurich,CDS,FIX,Category,Gen,Model,Taille (pouces),Preocesseur,RAM (GB),Storage (GB),Hosting Power (W),Serial Number,PV,Client / Partenaire,Date d'envoi,Lieu,Solution / Commentaire
Yvan,,,,Desktop,G1a,HP Elitedesk 8 G1a Mini ,,,,,,8CC5301MNX,,,,Showroom,
Benjamin,,,,Desktop,G1i,HP Elitedesk 8 G1i Mini ,,,,,,1HF5350PSS,,,,Stock,
Benjamin,,,,Desktop,G1i,HP Elitedesk 8 G1i TWR,,,,,,CZC5357CQ7,,,,Stock,
Hervé,,,,Desktop,G1i,HP EliteStudio 8 All-in-One 27” G1i,,,,,,CZC5357H8M,,,,Stock,
Yvan,,,,Desktop,G6,HP EliteDesk 800 G6 Desktop Mini PC,,,,,,8CC0200KBD,yes,,,Stock,
Yvan,,,,Desktop,G6,HP EliteDesk 800 G6 Desktop Mini PC,,,,,,8CC0311NL5,,,,Stock,
Yvan,,,,Desktop,G8,HP EliteDesk 800 G8 SFF PC,,,,,,CZC13982VC,,,,Stock,
Yvan,,,,Desktop,G9,HP EliteMini 800 G9,,,,,,1HF51602TS,,A localiser.... (PAIR),,Client,
Yvan,,,,Desktop,G9,HP EliteMini 800 G9,,,,,,1HF51602TT,,HUG?,,Client,
Yvan,,,,Desktop,G9,HP EliteSFF 800 G9,,,,,,CZC5157C6Z,,A localiser....HUG?,,Client,
Yvan,,,,Desktop,G9,HP EliteSFF 800 G9,,,,,,CZC5217JJZ,,DGNSI - Fabrian Groux,,Test,
Yvan,,,,Desktop,G9,HP EliteSFF 805 G9,,,,,,CZC5287B68,,,,Stock,
Yvan,,,,Display,G3,HP Z24u,24,,,,,CN4119381K,,,,Showroom,
Yvan,,,,Display,G3,HP Z24u,24,,,,,CN41030P8N,,,,Stock,
Yvan,,,,Display,G3,HP Z24u ,24,,,,,CN41131NCZ,,,,Showroom,
Amanda,,,,Display,G4,HP E24t G4,24,,,,,CNK0430XPJ,,,,Showroom,
Yvan,,,,Display,G4,HP P34hc G4,34,,,,,CNC1382VR7,,MIB - Ville de Genève,,Client,
Yvan,,,,Display,G5,HP E45c G5,45,,,,,CNC31609B4,,Simulateur auto,,Showroom,
Yvan,,,,Display,G5,HP E45c G5        ,45,,,,,CNC3070ZNV,,,,Stock,
Benjamin,,,,Display,,HP 524pf,24,,,,,CNXX4280S9P,,Wella,46071,Client,
Yvan,,,,Display,,HP 524pf,24,,,,,CN4424243H,,,,Showroom,
Yvan,,,,Display,,HP 524pf,24,,,,,VNG44905MC,,,,Stock,
Yvan,,,,Display,,HP 524pf,24,,,,,VNG44905M3,,,,Stock,
Yvan,,,,Display,,HP 524pf,24,,,,,VNG44905MD,,,,Stock,
Yvan,,,,Display,,HP 524pf,24,,,,,VNG44905MK,,,,Stock,
Benjamin,,,,Display,,HP 524pm,24,,,,,CNC4421WDW,,Wella,46071,Client,
Yvan,,,,Display,,HP 524pm,24,,,,,CNC4421Z0Z,,,,Showroom,
Yvan,,,,Display,,HP 524pu,24,,,,,CNC50322NX,,,,Stock,
Yvan,,,,Display,,HP 524pu,24,,,,,CNC5032180,,,,Stock,
Yvan,,,,Display,,HP 524pu,24,,,,,CNC5032182,,,,Stock,
Yvan,,,,Display,,HP 524pu,24,,,,,CNC503217W,,,,Stock,
Benjamin,3425,,,Display,,HP 527pm,27,,,,,CNC44729HG,,Wella,46071,Client,
Yvan,,,,Display,,HP 534pm,34,,,,,CNC50901ZC,,,,5eme,
Yvan,,,,Display,,HP 534pm,34,,,,,CNC509030B,,,,5eme,
Yvan,2331,,,Display,,HP 549pm,49,,,,,CNC54104XY,,,,Showroom,
Yvan,2692,,,Display,,HP 734pm,34,,,,,CN441503KQ,,,,Showroom,
Benjamin,,Also (CDS ?),,Display,,HP 738pu,38,,,,,CN44142R2Q,,,,5eme,
Yvan,2752,,,Display,,HP 738pu,38,,,,,CN441108K9,,,,Showroom,
Yvan,2748,,,Display,,HP 740pm,40,,,,,CN441137RX,,,,Showroom,
Yvan,,,,Display,,HP EliteDisplay S14,14,,,,,CNK8232JVF,,,,Showroom,"Missing , Luis ?"
Yvan,,,,Docking,G6,HP Thunderbolt 4 Ultra 180W G6 Dock,,,,,180,1H9525ZWC8,,,,Showroom,
Amanda,3358,,,Docking,G6,HP Thunderbolt 4 Ultra 280W G6 Dock,,,,,280,1H9527Z068,,Wella,46071,Client,
Amanda,,,,Docking,G6,HP Thunderbolt 4 Ultra 280W G6 Dock,,,,,280,1H9541Z2PG,,,,Showroom,
Yvan,,,,Docking,G6,HP USB-C 100W G6 Dock,,,,,100,5CG54XHTP,,,,Showroom,
Benjamin,2276,,,Docking,G6,HP USB-C Dock 100W G6 SWIS2,,,,,100,5CG38Z002,,Wella,46071,Client,
Yvan,,,,Laptop,G1,HP Chromebook x360 14 G1,,,,,,CND9293WJ2,,,,Stock,
Yvan,,,,Laptop,G1,HP EliteBook 1050 G1,,i5-8400H,8,256,,5CD8286ZXQ,,,,Stock,
Yvan,,,,Laptop,G10,HP EliteBook 650 G10,,i5-1345U,16,512,,5CD3477ZYC,,Satom IT,46097,Test,WXP
Yvan,,,,Laptop,G10,"WARG14L 1.0 PCIY01ZAW000
HP EliteBook 1040 G10",,U5 135U,16,512,,00027717Q7,yes,Satom IT,46097,Test,WXP
Yvan,,,,Laptop,G11,HP EliteBook 640 G11,,U5 135U,16,512,,5CD42254VN,,Lars Faustmann,,Test,WXP
Yvan,,,,Laptop,G11,HP EliteBook 845 G11,,RAI7P884,16,1024,,2MQ431065J,,Joseph Bruntz,,Test,"WXP, Intune"
Yvan,,,,Laptop,G11,HP EliteBook x360 1040 G11,,U7 165H,16,512,,5CG4274B4N,,Marc - BCVS,,Test,Edition PC
Yvan,,,,Laptop,G1a,HP Elitebook 8 G1a  R5PRO 230,,RAI5P230,32,512,,5CG52554X4,,,,Stock,
Tara,935,,,Laptop,G1a,HP EliteBook 8 G1a 14,,RAI7P250,16,512,,5CG5223CHF,,ELCA - Stéphane JACCARD,46023,Client,
Cynthia,989,,,Laptop,G1a,HP EliteBook 8 G1a 14 AI,,RAI5P340,16,512,,5CG5223CSL,,,,Stock,
Hervé,,,,Laptop,G1a,HP EliteBook 8 G1a 14 AI,,RAI7P350,32,512,,5CG5301D5Q,,Cynthia ROUAN,,Test,WXP
Yvan,,,,Laptop,G1a,HP Elitebook 8 G1a RAI7P350 ,,RAI7P350,32,512,,5CG52620JW,,,,Stock,
Benjamin - Cynthia,2777,,,Laptop,G1a,HP EliteBook X G1a 14 AI,,RAI7P360,32,1024,,5CG512589J,,UEFA - Alexandre,46117,Client,
Hervé - Alissia,,,,Laptop,G1i,HP Elitebook 6 14 G1i  U5235U 16GB 512SSD,,U5235U,16,512,,5CD5156WT6,,BNP Paribas,46175,Client,
Yvan,,,,Laptop,G1i,HP Elitebook 6 14 G1i  U5235U 16GB 512SSD,,U5235U,16,512,,5CD5156WT7,,A localiser....Hösli Patrick <Patrick.Hoesli@ne.ch>?,,Client,
Yvan,,,,Laptop,G1i,HP Elitebook 6 14 G1i  U7255U 4G,,U7255U,16,5112,,5CD5156WT5,,,,Showroom,WXP
Yvan,,,,Laptop,G1i,HP Elitebook 6 16 G1i  U5235U 16GB 512SSD,,U5235U,16,512,,5CD5160RTV,,SIEN Hösli Patrick <Patrick.Hoesli@ne.ch>?,,Client,
Benjamin,90,,,Laptop,G1i,HP EliteBook 6 G1i 14,,U5235U,32,512,,1H85243DG6,,,,Stock,
Yvan,,,,Laptop,G1i,HP EliteBook 6 G1i 16 inch Notebook AI PC,,U5235U,16,512,,5CD5160RTT,,,,Showroom,
Benjamin,,,,Laptop,G1i,HP EliteBook 8 Flip G1i 13,,U7265U,32,1024,,5CG5203ZJ6,,Wella,46071,Client,
Yvan,,,,Laptop,G1i,HP Elitebook 8 G1i  Next Gen AI ,,U5 238V,32,512,,5CG52554BR,,MIB - SEM Mr BIRR Alexandre (DIP) ,46076,Client,
Cynthia,959,,,Laptop,G1i,HP EliteBook 8 G1i 14,,U7265U,32,512,,5CG522398P,,,,Stock,
Yvan,,,,Laptop,G1i,HP EliteBook 8 G1i 14 - U5,,U5235U,32,512,,5CG545461B,,Joseph Bruntz - Deutch test,,Test,
Benjamin,964,,,Laptop,G1i,HP EliteBook 8 G1i 14 5G,,U5235U,32,512,,5CG5223976,,"ITC, MIB",,Client,
Hervé,,,,Laptop,G1i,HP EliteBook 8 G1i 14 Next Gen AI,,U7268V,32,512,,5CG5301D2M,,DIP test Debian 12,,Test,
Cynthia,539,,,Laptop,G1i,HP EliteBook 8 G1i 16,,U7265U,32,512,,5CG52239BT,,,,Stock,
Cynthia,2813,,,Laptop,G1i,HP EliteBook X Flip G1i 14 AI (Blue),,U5 238V,32,512,,5CG5130JY8,,,,Stock,
Benjamin,2807,,,Laptop,G1i,HP EliteBook X G1i 14 AI,,U7 268V,32,512,,5CG5133T8J,,,,Stock,
Cynthia,2805,,,Laptop,G1i,HP EliteBook X G1i 14 AI,,U7 268V,32,512,,5CG5133T8K,,,,Stock,
Jean,2836,,,Laptop,G1i,HP EliteBook X G1i 14 AI,,U5 238V,32,512,,5CG5130F5Y,,,,Stock,
Yvan,2927,,,Laptop,G1i,"MACHU13X 1.0 PCJQ01ZAW000
HP EliteBook 8 Flip G1i 13",,,,,,9CG47701H2,yes,,,Showroom,
Benjamin,2269,,,Laptop,G2i,Cashmere - HP EliteBook X G2i (-1kg),,,,,,000577130X,,,,Stock,
